image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC5073815_table_0,2,99,0.898435652256012,0.10973383858094388,-0.7887018136750681
PMC5085225_table_2,3,164,0.9286446770032247,0.06210840693902134,-0.8665362700642034
PMC5091897_table_0,11,176,0.6738730777393688,0.03939617121051759,-0.6344769065288511
PMC5093103_table_0,7,63,0.9340527398245675,0.033891570591737356,-0.9001611692328302
PMC5100194_table_5,5,87,0.9300756096839905,0.14824193379381437,-0.7818336758901762
PMC5103330_table_0,10,13,0.9169857680797577,0.5855117497535852,-0.3314740183261725
PMC5105130_table_3,3,73,0.9308815598487854,0.037355927903562375,-0.893525631945223
PMC5117546_table_1,10,99,0.8950437545776367,0.04982937090369318,-0.8452143836739435
PMC5142350_table_0,10,205,0.9002956628799439,0.02193042504169592,-0.8783652378382479
PMC5168842_table_1,8,104,0.9096331596374512,0.050849567292831264,-0.8587835923446199
PMC5690179_table_0,2,16,0.42868053913116455,0.06615270581096411,-0.36252783332020044
PMC5694208_table_2,4,109,0.8316423743963242,0.026155108500511275,-0.8054872658958129
PMC5694554_table_2,6,20,0.9430808027585348,0.11534354996110778,-0.827737252797427
PMC5716779_table_1,3,38,0.9289184808731079,0.10071878811638606,-0.8281996927567219
PMC5725975_table_1,7,62,0.3993783321763788,0.08537528467094226,-0.31400304750543656
PMC5729284_table_1,4,88,0.13576889038085938,0.10237974976189435,-0.03338914061896503
PMC5732956_table_4,4,48,0.7873049080371857,0.0475981452036649,-0.7397067628335208
