image,has_span,n_gt_rows,n_gt_cols,n_gt_spans,row_mean_iou,row_recall,row_precision,row_f1,col_mean_iou,col_recall,col_precision,col_f1,span_mean_iou,span_recall,span_precision,span_f1,cell_mean_iou,cell_recall,cell_precision,cell_f1,span_cell_mean_iou,span_cell_recall,span_cell_f1,nonspan_cell_mean_iou,nonspan_cell_recall,nonspan_cell_f1,n_gt_cells,n_pred_cells
PMC3201386_table_3,False,6,5,0,0.9155426025390625,1.0,1.0,1.0,0.9438188552856446,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8837534228960673,1.0,1.0,1.0,0.0,0.0,0.0,0.8837534228960673,1.0,1.0,30,30
PMC3206044_table_0,False,6,3,0,0.9455410639444987,1.0,1.0,1.0,0.946871300538381,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9208804170290629,1.0,1.0,1.0,0.0,0.0,0.0,0.9208804170290629,1.0,1.0,18,18
PMC3208639_table_0,True,19,9,6,0.9335598349571228,1.0,1.0,1.0,0.9666471547550626,1.0,1.0,1.0,0.8760432203610738,1.0,0.6,0.7499999999999999,0.8369677209492886,0.9212121212121213,0.987012987012987,0.9529780564263323,0.8760432203610738,1.0,1.0909090909090908,0.835493173801674,0.9182389937106918,0.9511400651465798,165,154
PMC3209419_table_2,True,19,9,5,0.7056832501762792,1.0,0.9047619047619048,0.9500000000000001,0.9300117757585313,1.0,1.0,1.0,0.7498119950294495,1.0,0.7142857142857143,0.8333333333333333,0.6736376448111101,0.9939393939393939,0.9425287356321839,0.9675516224188789,0.7498119950294495,1.0,1.0,0.6712571963667869,0.99375,0.9695121951219512,165,174
PMC3213080_table_0,True,19,6,5,0.9375684637772409,1.0,1.0,1.0,0.9589984317620596,1.0,1.0,1.0,0.885259485244751,1.0,1.0,1.0,0.9105668483524147,1.0,1.0,1.0,0.885259485244751,1.0,1.0,0.9117835485018216,1.0,1.0,109,109
PMC3214126_table_4,True,21,4,3,0.9277279320217314,1.0,0.9130434782608695,0.9545454545454545,0.9524306952953339,1.0,1.0,1.0,0.9163366754849752,1.0,1.0,1.0,0.8917443237186949,1.0,0.9759036144578314,0.9878048780487805,0.9163366754849752,1.0,1.0,0.8907984640353765,1.0,0.9936305732484078,81,83
PMC3215718_table_1,True,8,4,3,0.9584813266992569,1.0,1.0,1.0,0.9811868071556091,1.0,1.0,1.0,0.981954018274943,1.0,1.0,1.0,0.9557496453153675,1.0,1.0,1.0,0.981954018274943,1.0,1.0,0.952726063820032,1.0,1.0,29,29
PMC3220020_table_0,False,34,4,0,0.8650103176341337,1.0,0.8947368421052632,0.9444444444444444,0.9708513170480728,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8504708527642137,1.0,0.8947368421052632,0.9444444444444444,0.0,0.0,0.0,0.8504708527642137,1.0,0.9444444444444444,136,152
PMC3236184_table_0,True,11,4,2,0.9496653405102816,1.0,1.0,1.0,0.9483166486024857,1.0,1.0,1.0,0.9689514338970184,1.0,1.0,1.0,0.9085524330536524,1.0,1.0,1.0,0.9689514338970184,1.0,1.0,0.9049995506511015,1.0,1.0,36,36
PMC3236760_table_3,False,11,5,0,0.9326064098965038,1.0,1.0,1.0,0.9071485280990601,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8649945118210532,1.0,1.0,1.0,0.0,0.0,0.0,0.8649945118210532,1.0,1.0,55,55
PMC3239048_table_3,False,12,7,0,0.9257805595795313,1.0,1.0,1.0,0.9768343397549221,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9109045962492625,1.0,1.0,1.0,0.0,0.0,0.0,0.9109045962492625,1.0,1.0,84,84
