model,detected,iou,max_norm,max_snap,grid_err
v1.0,1,0.9747360944747925,0.011639821662438791,1.1287118896484287,0.0
v1.0,1,0.9719385504722595,0.02228782274424507,1.1447031005859287,0.0
v1.0,1,0.9868791699409485,0.004791119138983439,0.32085012207031127,0.0
v1.0,1,0.9449036717414856,0.02727519788331879,1.5649001953124753,0.0
v1.0,1,0.9820964336395264,0.014416034658401794,0.47960356445310026,0.0
v1.0,1,0.8490215539932251,0.08073524645434059,7.764946459960925,0.0
v1.0,1,0.8864468932151794,0.03967075938645542,3.7953055175781287,0.0
v1.0,1,0.8726723790168762,0.06577062385550346,6.252214697265629,0.0
v1.0,1,0.903762936592102,0.06779892111172924,7.282132958984391,0.0
v1.0,1,0.8785907030105591,0.04588201651703061,4.785734033203141,0.0
v1.0,1,0.9164727330207825,0.04004197722745855,2.825095312500025,0.0
v1.0,1,0.9660534858703613,0.018174076339063552,3.3466398437499834,0.0
v1.0,0,0.49121880531311035,0.9429974967382014,7.595552050781237,1.0
v1.0,1,0.9848957061767578,0.008433902463787214,0.40402694091797287,0.0
v1.0,1,0.9685311317443848,0.01971359414310371,0.4726946777343528,0.0
v1.0,1,0.9721738696098328,0.013952368202486777,2.3971061523437243,0.0
v1.0,1,0.9900742173194885,0.008257497556461936,1.2377815429687757,0.0
v1.0,1,0.9824159741401672,0.007391523753383878,0.4824594726562452,0.0
v1.0,1,0.9777960777282715,0.014938136030249672,1.2150797119140577,0.0
v1.0,1,0.9835066199302673,0.006802297109146959,0.7194851806640656,0.0
v1.0,1,0.976949155330658,0.011887724932542934,0.9201573242187351,0.0
v1.0,1,0.9659286737442017,0.01796163870481873,1.1096310058593701,0.0
v1.0,1,0.9282933473587036,0.03359802921940643,4.683505590820317,0.0
v1.0,1,0.9537770748138428,0.038192310496123594,5.324091406249977,0.0
v1.0,1,0.9453770518302917,0.028780723858022474,4.012079687499977,0.0
v1.0,1,0.9718650579452515,0.016489772894206216,2.229577246093754,0.0
v1.0,1,0.963092029094696,0.021930130469108012,0.7946426635742228,0.0
v1.0,1,0.9685339331626892,0.014913401372814637,1.033857568359366,0.0
v1.0,1,0.919151782989502,0.037411850676103926,1.449232324218741,0.0
v1.0,1,0.8620705008506775,0.09924187084928736,3.3058757324218675,0.0
v1.0,1,0.9788771867752075,0.0098107428868576,1.0188140869140625,0.0
v1.0,1,0.9685697555541992,0.0164614595881793,0.988100976562464,0.0
v1.0,1,0.9685555696487427,0.019099869590983948,0.6321212158203195,0.0
v1.0,1,0.9462894201278687,0.03109775628922104,2.226017822265618,0.0
v1.0,1,0.8444650769233704,0.07508635646388372,2.751224169921869,0.0
v1.0,1,0.9328177571296692,0.05463610905136242,3.908253662109388,0.0
v1.0,1,0.9568766355514526,0.01944525220544731,0.5789959960937381,0.0
v1.0,0,0.0,2.537542268692954,2.985688281249992,1.0
v1.0,1,0.7975133061408997,0.16720150080258572,4.193894580078123,1.0
v1.0,0,0.48882991075515747,0.9887132032497318,1.4620829345703044,1.0
v1.0,1,0.5852084755897522,0.6458831429628168,5.988056665039068,1.0
v1.0,1,0.6421853303909302,0.5429143241420099,7.787426477050786,1.0
v1.0,1,0.9105881452560425,0.04689805053368955,2.4775624511718775,0.0
v1.0,0,0.0,1.0331696985022776,4.5726552246093775,1.0
v1.0,1,0.9184519648551941,0.05294422247969254,1.3356409179687034,0.0
v1.0,1,0.8793095350265503,0.041878743390802865,5.355666088867196,0.0
v1.0,1,0.5038983821868896,0.3586776631530755,5.969006066894536,0.0
v1.0,1,0.6479077339172363,0.3263538030537551,14.393508129882818,0.0
v1.0,1,0.9126003980636597,0.052268458754478976,5.798270800781239,0.0
v1.0,1,0.8866665363311768,0.0679359782764856,7.536307910156239,0.0
v1.0,1,0.8979766964912415,0.08192951169982299,9.088645556640614,0.0
